# date|circular_no|category|title|link
11 Dec 2025|635|Membership and Compliance|Expulsion of Member|https://www.mcxindia.com/docs/default-source/circulars/english/2025/december/circular-635-2025.pdf?sfvrsn=3e23e9e_0
11 Dec 2025|634|MCXCCL|Mock Trading|https://www.mcxindia.com/docs/default-source/circulars/english/2025/december/circulars-634-2025.pdf?sfvrsn=46e33e9e_0
11 Dec 2025|633|TECH|Mock Trading|https://www.mcxindia.com/docs/default-source/circulars/english/2025/december/circular-633-2025.pdf?sfvrsn=b6f53e9e_2
15 Dec 2025|638|Membership and Compliance|Approval of Surrender of Membership|https://www.mcxindia.com/docs/default-source/circulars/english/2025/december/circular-638-2025.pdf?sfvrsn=6ae3e9e_0
15 Dec 2025|637|MCXCCL|Introduction of Representation of Penalty Waiver / Reversal Request through Member Reporting Portal (MRP)|https://www.mcxindia.com/docs/default-source/circulars/english/2025/december/circular637.pdf?sfvrsn=5ab3e9e_0
15 Dec 2025|636|T&S|Trading Holidays for the Calendar Year 2026|https://www.mcxindia.com/docs/default-source/circulars/english/2025/december/circular-636-2025.pdf?sfvrsn=31b43e9e_0
16 Dec 2025|640|MCXCCL|Reminder - Submission of Annual Returns and Annual Confirmations for Financial Year 2024-2025|https://www.mcxindia.com/docs/default-source/circulars/english/2025/december/circular-640-2025.pdf?sfvrsn=5c913e9e_0
16 Dec 2025|639|TECH|Cyber Security Advisory - Learnings from Incidents|https://www.mcxindia.com/docs/default-source/circulars/english/2025/december/circular---639--2025.pdf?sfvrsn=5da63e9e_0
17 Dec 2025|643|MCXCCL|Due Date Rates|https://www.mcxindia.com/docs/default-source/circulars/english/2025/december/circular-642-202520855a4857fb64e3bdfdff00007acb35.pdf?sfvrsn=b07e3e9e_8
17 Dec 2025|642|GENERAL|Invitation for Expression of Interest for Liquidity Enhancement Scheme (LES) for MCX Electricity Futures (Monthly Base Load) Contract|https://www.mcxindia.com/docs/default-source/default-document-library/circular-642-2025.pdf?sfvrsn=3a543e9e_0
17 Dec 2025|641|TECH|Mock Trading|https://www.mcxindia.com/docs/default-source/circulars/english/2025/december/circular-641-2025.pdf?sfvrsn=e18d3e9e_0
18 Dec 2025|646|MCXCCL|Cyber Security Advisory – Learning from Incidents|https://www.mcxindia.com/docs/default-source/circulars/english/2025/december/circulars-646-2025.pdf?sfvrsn=ad593e9e_0
18 Dec 2025|645|MCXCCL|Delivery & Invoices Settlement Schedule for January 2026 expiry contracts|https://www.mcxindia.com/docs/default-source/circulars/english/2025/december/circular-645-2025.pdf?sfvrsn=b15a3e9e_2
18 Dec 2025|644|MCXCCL|Tender - Pre Expiry Margin Schedule for the Month of Jan 2026|https://www.mcxindia.com/docs/default-source/circulars/english/2025/december/circular-644--2025.pdf?sfvrsn=b06a3e9e_0
19 Dec 2025|651|MCXCCL|Mock Trading|https://www.mcxindia.com/docs/default-source/circulars/english/2025/december/circulars-651-2025.pdf?sfvrsn=f4443e9e_0
19 Dec 2025|650|Membership and Compliance|Ease of Doing Compliance- Submission of Action Taken Report (ATR) for non-compliance(s) reported in the Internal Audit Report|https://www.mcxindia.com/docs/default-source/circulars/english/2025/december/circular-650-2025.pdf?sfvrsn=ae443e9e_0
19 Dec 2025|649|MCXCCL|Acceptance of Electronic Fixed Deposit Receipts(e-FDRs)|https://www.mcxindia.com/docs/default-source/circulars/english/2025/december/circular---649---2025.pdf?sfvrsn=41403e9e_2
19 Dec 2025|648|TECH|Product Movement Between Partition|https://www.mcxindia.com/docs/default-source/circulars/english/2026/december/mcxtech6482025---product-movement-between-partition.pdf?sfvrsn=ad433e9e_0
19 Dec 2025|647|MCXCCL|Due Date Rates|https://www.mcxindia.com/docs/default-source/circulars/english/2026/december/circular---647---2025.pdf?sfvrsn=b14b3e9e_0
22 Dec 2025|654|MCXCCL|Clearing and Settlement Holidays for the year 2026|https://www.mcxindia.com/docs/default-source/circulars/english/2025/december/circular-654-2025.pdf?sfvrsn=32263e9e_0
22 Dec 2025|653|MCXCCL|De-accreditation of Warehouse for Cotton Bales|https://www.mcxindia.com/docs/default-source/circulars/english/2025/december/circular-653.pdf?sfvrsn=ba263e9e_0
